city,city_py,高峰平均速度,排名.2,低峰速度,排名.3,high_score2,low_score2
杭州,hangzhou,25.48,1,41.48,1,1.104328969,1.034927478
兰州,lanzhou,23.87,1,41.49,1,1.104328969,1.034927478
宁波,ningbo,26.04,1,41.79,1,1.104328969,1.034927478
洛阳,luoyang,23.47,1,39.95,1,1.104328969,1.034927478
南宁,nanning,22.72,1,40.71,1,1.104328969,1.034927478
柳州,liuzhou,24.34,1,38.87,1,1.104328969,1.034927478
长春,changchun,24.65,1,45.21,2,1.104328969,1.032767812
西安,xian,25.59,1,45.09,2,1.104328969,1.032767812
昆明,kunming,24.35,1,43.49,2,1.104328969,1.032767812
沈阳,shenyang,25.39,1,45.04,2,1.104328969,1.032767812
哈尔滨,haerbin,23.5,1,44.72,2,1.104328969,1.032767812
上海,shanghai,23.27,1,42.98,2,1.104328969,1.032767812
南京,nanjing,24.96,1,44.15,2,1.104328969,1.032767812
合肥,hefei,24.57,1,44.25,2,1.104328969,1.032767812
长沙,changsha,24.71,1,43.69,2,1.104328969,1.032767812
广州,guangzhou,23.96,1,45.79,2,1.104328969,1.032767812
佛山,foshan,24.45,1,43.57,2,1.104328969,1.032767812
唐山,tangshan,27.36,2,44.35,2,1.099118329,1.032767812
温州,wenzhou,27.53,2,43.33,2,1.099118329,1.032767812
南昌,nanchang,26.28,2,43.47,2,1.099118329,1.032767812
烟台,yantai,26.12,2,45.29,2,1.099118329,1.032767812
绍兴,shaoxing,29.03,3,44.76,2,1.078925851,1.032767812
台州,taizhou,30.15,3,44.59,2,1.078925851,1.032767812
淄博,zibo,28.03,3,44.99,2,1.078925851,1.032767812
贵阳,guiyang,25.54,1,47.22,3,1.104328969,1.017017981
呼和浩特,huhehaote,25.04,1,46.32,3,1.104328969,1.017017981
济南,jinan,25.84,1,47.75,3,1.104328969,1.017017981
北京,beijing,23.35,1,47.45,3,1.104328969,1.017017981
大连,dalian,26.57,2,47.43,3,1.099118329,1.017017981
福州,fuzhou,27.09,2,46.41,3,1.099118329,1.017017981
成都,chengdu,26.17,2,46.69,3,1.099118329,1.017017981
深圳,shenzhen,26.41,2,47.06,3,1.099118329,1.017017981
乌鲁木齐,wulumuqi,33.07,3,46.5,3,1.078925851,1.017017981
无锡,wuxi,30.86,3,48.14,3,1.078925851,1.017017981
苏州,suzhou,29.37,3,48.49,3,1.078925851,1.017017981
厦门,xiamen,28.19,3,46.88,3,1.078925851,1.017017981
泉州,quanzhou,30.8,3,46.6,3,1.078925851,1.017017981
武汉,wuhan,28.93,3,48.52,3,1.078925851,1.017017981
天津,tianjin,28.7,3,47.76,3,1.078925851,1.017017981
重庆,chongqing,25.84,1,48.84,4,1.104328969,0.974156738
常州,changzhou,33.18,3,50.07,4,1.078925851,0.974156738
石家庄,shijiazhuang,30.99,3,49.37,4,1.078925851,0.974156738
保定,baoding,29.86,3,48.79,4,1.078925851,0.974156738
太原,taiyuan,29.67,3,49.43,4,1.078925851,0.974156738
西宁,xining,29.69,3,49.4,4,1.078925851,0.974156738
扬州,yangzhou,31.49,3,49.09,4,1.078925851,0.974156738
青岛,qingdao,31.05,3,49.71,4,1.078925851,0.974156738
郑州,zhengzhou,29.83,3,48.68,4,1.078925851,0.974156738
东莞,dongguan,30.31,3,50.13,4,1.078925851,0.974156738
南通,nantong,37.86,4,52.1,4,1.038845445,0.974156738
包头,baotou,NA,5,NA,5,0.992183615,0.922491668
赤峰,chifeng,NA,5,NA,5,0.992183615,0.922491668
巴彦淖尔,bayannaoer,NA,5,NA,5,0.992183615,0.922491668
本溪,benxi,NA,5,NA,5,0.992183615,0.922491668
辽阳,liaoyang,NA,5,NA,5,0.992183615,0.922491668
jilin,jilin,NA,5,NA,5,0.992183615,0.922491668
松原,songyuan,NA,5,NA,5,0.992183615,0.922491668
鸡西,jixi,NA,5,NA,5,0.992183615,0.922491668
佳木斯,jiamusi,NA,5,NA,5,0.992183615,0.922491668
大兴安岭,daxinganling,NA,5,NA,5,0.992183615,0.922491668
盐城,yancheng,NA,5,NA,5,0.992183615,0.922491668
丽水,lishui,NA,5,NA,5,0.992183615,0.922491668
铜陵,tongling,NA,5,NA,5,0.992183615,0.922491668
亳州,bozhou,NA,5,NA,5,0.992183615,0.922491668
三明,sanming,NA,5,NA,5,0.992183615,0.922491668
宁德,ningde,NA,5,NA,5,0.992183615,0.922491668
新余,xinyu,NA,5,NA,5,0.992183615,0.922491668
上饶,shangrao,NA,5,NA,5,0.992183615,0.922491668
东营,dongying,NA,5,NA,5,0.992183615,0.922491668
威海,weihai,NA,5,NA,5,0.992183615,0.922491668
聊城,liaocheng,NA,5,NA,5,0.992183615,0.922491668
安阳,anyang,NA,5,NA,5,0.992183615,0.922491668
漯河,luohe,NA,5,NA,5,0.992183615,0.922491668
驻马店,zhumadian,NA,5,NA,5,0.992183615,0.922491668
